"order_id","product_id"
"0","falsehood"
"0","constantli"
"0","attempt"
"0","make"
"0","death"
"0","righteou"
"0","slay"
"0","enemi"
"0","islam"
"0","mushrikin"
"0","apost"
"0","sign"
"0","foretel"
"0","break"
"0","muwahiddin"
"0","fool"
"0","realiz"
"0","ordain"
"0","soul"
"0","term"
"0","creat"
"0","heaven"
"0","earth"
"0","nation"
"0","term"
"0","neither"
"0","delay"
"0","hour"
"0","advanc"
"0","decre"
"0","equal"
"0","includ"
"0","prophet"
"0","righteou"
"0","well"
"0","disbeliev"
"0","tyrant"
"0","fool"
"0","realiz"
"0","preserv"
"0","religion"
"0","howev"
"0","will"
"0","religion"
"0","remain"
"0","establish"
"0","damag"
"0","death"
"0","person"
"0","damag"
"0","anyth"
"0","death"
"0","prophet"
"0","nobl"
"0","companion"
"0","religion"
"0","remain"
"0","long"
"0","departur"
"0","establish"
"0","foothold"
"0","spread"
"0","earth"
"0","preserv"
"0","employ"
"0","righteou"
"0","slave"
"0","servic"
"0","love"
"0","love"
"0","humbl"
"0","believ"
"0","mighti"
"0","disbeliev"
"0","wage"
"0","jihad"
"0","caus"
"0","fear"
"0","blame"
"0","blamer"
"0","maidah"
"0","learn"
"0","rever"
"0","rever"
"0","worship"
"0","worship"
"0","righteou"
"0","among"
"0","remind"
"0","brother"
"0","bakr"
"0","siddiq"
"0","companion"
"0","whoever"
"0","worship"
"0","muhammad"
"0","verili"
"0","muhammad"
"0","die"
"0","whoever"
"0","worship"
"0","verili"
"0","aliv"
"0","report"
"0","bukhari"
"0","aishah"
"0","abba"
"0","mujahidin"
"0","caus"
"0","elit"
"0","creation"
"0","slave"
"0","chosen"
"0","becom"
"0","martyr"
"0","subject"
"0","favor"
"0","test"
"0","death"
"0","leader"
"0","command"
"0","storm"
"0","ahead"
"0","battl"
"0","run"
"0","head"
"0","first"
"0","hardship"
"0","religion"
"0","increas"
"0","firm"
"0","determin"
"0","fight"
"0","enemi"
"0","word"
"0","mujahidin"
"0","like"
"0","ana"
"0","nadhr"
"0","companion"
"0","messeng"
"0","found"
"0","uhud"
"0","encumb"
"0","hear"
"0","mushrikin"
"0","claim"
"0","kill"
"0","messeng"
"0","messeng"
"0","kill"
"0","life"
"0","stand"
"0","upon"
"0","messeng"
"0","die"
"0","face"
"0","enemi"
"0","fought"
"0","kill"
"0","sirat"
"0","hisham"
"0","muwahhidin"
"0","everi"
"0","time"
"0","place"
"0","whenev"
"0","gener"
"0","pass"
"0","anoth"
"0","gener"
"0","follow"
"0","hold"
"0","banner"
"0","tawhid"
"0","overhead"
"0","plung"
"0","anew"
"0","battl"
"0","islam"
"0","continu"
"0","wage"
"0","shirk"
"0","slogan"
"0","stand"
"0","upon"
"0","brother"
"0","faith"
"0","die"
"0","kill"
"0","persev"
"0","brother"
"0","preced"
"0","like"
"0","shaykh"
"0","muhammad"
"0","adnani"
"0","harm"
"0","islam"
"0","preserv"
"0","never"
"0","harm"
"0","brother"
"0","consid"
"0","emerg"
"0","fighter"
"0","caus"
"0","seek"
"0","shahadah"
"0","without"
"0","turn"
"0","back"
"0","consid"
"0","kill"
"0","caus"
"0","dead"
"0","rather"
"0","aliv"
"0","provid"
"0","lord"
"0","rejoic"
"0","bestow"
"0","upon"
"0","bounti"
"0","cheer"
"0","join"
"0","shall"
"0","fear"
"0","shall"
"0","griev"
"0","cheer"
"0","bless"
"0","grace"
"0","reward"
"0","believ"
"0","lost"
"0","imran"
"0","permiss"
"0","slay"
"0","harm"
"0","islam"
"0","state"
"0","long"
"0","proce"
"0","upon"
"0","tawhid"
"0","sunnah"
"0","shall"
"0","continu"
"0","employ"
"0","frustrat"
"0","kuffar"
"0","therebi"
"0","heal"
"0","heart"
"0","believ"
"0","employ"
"0","establish"
"0","foundat"
"0","rais"
"0","base"
"0","reach"
"0","grace"
"0","reach"
"0","today"
"0","digniti"
"0","empower"
"0","mushrikin"
"0","murtaddin"
"0","rejoic"
"0","kill"
"0","shaykh"
"0","zarqawi"
"0","thought"
"0","enter"
"0","mind"
"0","employ"
"0","soldier"
"0","brother"
"0","shaykh"
"0","nose"
"0","ground"
"0","infuri"
"0","heart"
"0","employ"
"0","shaykh"
"0","muhammad"
"0","adnani"
"0","today"
"0","rejoic"
"0","kill"
"0","shaykh"
"0","muhammad"
"0","adnani"
"0","howev"
"0","shall"
"0","shed"
"0","mani"
"0","tear"
"0","place"
"0","permiss"
"0","mani"
"0","soldier"
"0","brother"
"0","muhammad"
"0","inflict"
"0","wors"
"0","torment"
"0","sure"
"0","support"
"0","support"
"0","truli"
"0","strong"
"0","mighti"
"0","hajj"
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
"0",NA
